Time,Position
1.000000000000000021e-03,0.000000000000000000e+00,0.000000000000000000e+00
2.000000000000000042e-03,-9.947085473908268572e-04,-5.569542875085129602e-03
3.000000000000000062e-03,-1.189644854002063845e-03,2.810605558601892914e-03
4.000000000000000083e-03,-1.674613743334201193e-03,4.174448882694426106e-03
5.000000000000000104e-03,-1.443671702656267476e-04,6.762083691439994132e-04
6.000000000000000125e-03,-6.512254829342388474e-03,-2.704835862431234986e-03
7.000000000000000146e-03,-5.622053305334199017e-03,-1.303236307265537818e-03
8.000000000000000167e-03,-3.747312327169369760e-03,-8.711541601647881852e-04
9.000000000000001055e-03,3.262548156735703506e-03,-7.099014850150691010e-04
1.000000000000000021e-02,1.399656464037763066e-03,-3.373848974520410153e-03
1.099999999999999936e-02,-5.687509018401745720e-03,-6.645354281113763362e-03
1.200000000000000025e-02,-2.952740050891143435e-03,-6.165938058721925040e-03
1.300000000000000114e-02,-7.344712588875593889e-03,4.890205773176994550e-04
1.400000000000000029e-02,-8.978123903294346619e-03,-3.397755916523698214e-03
1.499999999999999944e-02,1.641009736405549951e-03,-9.095552590190828304e-03
1.600000000000000033e-02,3.391266463142845675e-03,-5.968803254879688491e-03
1.700000000000000122e-02,4.838578058886833407e-04,1.593079288392182380e-03
1.800000000000000211e-02,-6.998939134931498295e-03,-5.275390560460003521e-04
1.899999999999999953e-02,-2.934106812131043532e-03,-3.774053561094299798e-03
2.000000000000000042e-02,2.835839617914606356e-03,-1.958256980890682279e-03
2.100000000000000130e-02,-7.675936536311379378e-04,-5.379935711437746140e-03
2.199999999999999872e-02,1.791579969954859228e-03,-1.114291093411197073e-03
2.299999999999999961e-02,1.872362745456537239e-03,4.016522845820154168e-03
2.400000000000000050e-02,1.833548424019181044e-03,9.383900679518534030e-03
2.500000000000000139e-02,1.520507958771965184e-03,4.722035890318502377e-04
2.600000000000000228e-02,-9.283226117961944357e-03,3.105465197960136526e-03
2.699999999999999969e-02,-5.330053351567587069e-03,-5.439632603393624796e-03
2.800000000000000058e-02,-5.290604603812534661e-03,-1.758608517621551570e-03
2.900000000000000147e-02,1.521144073269129794e-03,-9.578070874572621948e-03
2.999999999999999889e-02,-4.842147152897359474e-03,8.057332371031507984e-04
3.099999999999999978e-02,-3.673596393789133139e-03,-9.757499882906988829e-04
3.200000000000000067e-02,1.882145911807390441e-03,-7.224611840493550333e-03
3.300000000000000155e-02,-2.220044264742845278e-03,7.115966633954523904e-04
3.400000000000000244e-02,-1.687481845319563486e-03,-6.037311346364166581e-03
3.500000000000000333e-02,-1.261153816530917416e-03,-4.952335869638009591e-03
3.600000000000000422e-02,-6.889386385004213353e-03,-4.470093406014221012e-03
3.699999999999999817e-02,-1.133572723381056323e-02,2.651612562001005868e-03
3.799999999999999906e-02,-2.714097416508704647e-03,-4.114829540783996979e-03
3.899999999999999994e-02,-2.823013133996097723e-03,-9.485951645567383683e-03
4.000000000000000083e-02,1.551177963689266345e-03,-5.886768427962383102e-03
4.100000000000000172e-02,-7.394754219254549323e-04,-2.259790568715406602e-03
4.200000000000000261e-02,4.080597492032391653e-04,-3.763897259245564675e-03
4.300000000000000350e-02,-2.559770335796270405e-03,-1.468696915691674112e-02
4.399999999999999745e-02,-3.765856498118480642e-03,2.382318326503216413e-03
4.499999999999999833e-02,-1.959501826318846458e-03,-4.632885423569384209e-03
4.599999999999999922e-02,3.268872570227903014e-03,-8.318623564975312010e-04
4.700000000000000011e-02,-1.541962665359943811e-03,-1.336072279354668345e-02
4.800000000000000100e-02,-3.608799611969591530e-03,-1.660058761291688390e-03
4.900000000000000189e-02,-2.282447081181107791e-03,-6.027568541555862296e-03
5.000000000000000278e-02,-1.107773208677561823e-03,-5.203824389894756361e-03
5.100000000000000366e-02,-1.324826734125033635e-03,-8.210977222802014197e-03
5.200000000000000455e-02,-5.504476327653646736e-03,-1.552983002832535736e-02
5.299999999999999850e-02,-8.070572951756369712e-03,-3.169345384757415660e-03
5.399999999999999939e-02,-6.865838987642815597e-03,3.487926408778540665e-03
5.500000000000000028e-02,5.432804625201931303e-03,6.297323223241669578e-04
5.600000000000000117e-02,4.656038011442955454e-03,-1.019304127639506126e-02
5.700000000000000205e-02,-8.552512628191323574e-04,-5.061277582940558982e-03
5.800000000000000294e-02,-7.585133652410199628e-03,-5.106966399582983998e-03
5.900000000000000383e-02,5.252614026695058558e-03,-8.742771479452290245e-03
5.999999999999999778e-02,2.593858157206854840e-03,-7.180242148465434265e-03
6.099999999999999867e-02,2.869384621616387267e-03,-6.053095874218003200e-03
6.199999999999999956e-02,-1.537157725240702929e-03,-1.832416218099785533e-03
6.300000000000000044e-02,9.335495254373196196e-05,-1.358633393839508118e-02
6.400000000000000133e-02,-8.567690041510136675e-03,-1.936138225179946312e-03
