Time,Position
1.000000000000000021e-03,0.000000000000000000e+00,0.000000000000000000e+00
2.000000000000000042e-03,-3.235473278313934177e-04,8.410168296428141566e-03
3.000000000000000062e-03,1.461368917909076220e-03,6.368145203626995876e-03
4.000000000000000083e-03,-2.715168590409777066e-03,-1.707163363693833119e-04
5.000000000000000104e-03,1.064753051093735893e-03,6.449172016042773858e-04
6.000000000000000125e-03,-4.114700921185663988e-03,-4.228514750195874229e-03
7.000000000000000146e-03,-7.092501750289833054e-04,-1.045600200133865471e-03
8.000000000000000167e-03,1.149614527815168282e-04,3.411622361988840384e-03
9.000000000000001055e-03,5.616238243705258190e-03,-6.318149346150343099e-04
1.000000000000000021e-02,-2.162659031615217324e-03,5.503618073606997502e-04
1.099999999999999936e-02,-5.337352548509420244e-03,7.025907391237008357e-04
1.200000000000000025e-02,-4.666325524523388946e-04,-1.761518393960975499e-03
1.300000000000000114e-02,2.983786443596868863e-03,-2.740227781058278845e-03
1.400000000000000029e-02,-1.280677821525494798e-03,-1.946739116961094737e-03
1.499999999999999944e-02,2.489019154441978604e-03,6.028720114576948189e-03
1.600000000000000033e-02,6.761679147939182212e-04,-3.715172738482270219e-03
1.700000000000000122e-02,-2.261472796020718139e-03,-3.361348446212700149e-03
1.800000000000000211e-02,8.370636970350222791e-03,-9.028687956275224455e-05
1.899999999999999953e-02,1.780643189559959032e-03,-1.470463839901230358e-03
2.000000000000000042e-02,-6.158647232629274951e-03,8.344381967037343105e-04
2.100000000000000130e-02,-7.287033561039936783e-03,8.248058804790906612e-03
2.199999999999999872e-02,8.695959029974751481e-03,2.143177277696270075e-03
2.299999999999999961e-02,6.376143535794126863e-03,-6.418942401754946549e-03
2.400000000000000050e-02,-1.697155417911785577e-03,3.317862028979720081e-03
2.500000000000000139e-02,-2.409547014927455703e-03,6.397280427507504204e-04
2.600000000000000228e-02,1.025005348072818671e-03,-4.324360118902495671e-03
2.699999999999999969e-02,-2.468886706468457950e-04,-3.860232035707192744e-03
2.800000000000000058e-02,1.725681708927740473e-03,-3.925129818809930740e-03
2.900000000000000147e-02,2.389169426533816094e-03,6.125574318008237748e-03
2.999999999999999889e-02,-5.913060400367709836e-04,-6.242429926537994625e-03
3.099999999999999978e-02,9.701097953029359528e-05,9.824795701897891254e-05
3.200000000000000067e-02,2.847711662690024115e-03,-1.090503523062044677e-03
3.300000000000000155e-02,1.475577253449250788e-03,4.060975629845059443e-03
3.400000000000000244e-02,-1.086402599867087194e-03,5.581056890030661188e-03
3.500000000000000333e-02,6.031020592251644212e-03,1.882078525138394711e-03
3.600000000000000422e-02,2.976808045665401640e-03,-4.537280223931037214e-03
3.699999999999999817e-02,-5.945578456325723710e-03,-1.885556556669804040e-03
3.799999999999999906e-02,1.938827092790376683e-03,6.366882151528565226e-04
3.899999999999999994e-02,1.251875242843514431e-02,4.778390780901203491e-03
4.000000000000000083e-02,4.888114993240330088e-03,8.186139735067597331e-03
4.100000000000000172e-02,-5.151672712926288686e-03,4.433967527866282399e-03
4.200000000000000261e-02,-1.935808574575109946e-03,-1.091694781862485170e-03
4.300000000000000350e-02,3.369764512191875637e-04,-4.044472744207263000e-03
4.399999999999999745e-02,-1.210796195716653915e-03,1.275774683915562556e-03
4.499999999999999833e-02,1.999143738743711703e-03,1.419650732668408313e-03
4.599999999999999922e-02,-3.825038405923854648e-03,3.012690498029811561e-03
4.700000000000000011e-02,3.428249816132644939e-03,2.645242638568183480e-03
4.800000000000000100e-02,4.369527353256341499e-03,2.562842811495821133e-03
4.900000000000000189e-02,7.947916476239654665e-03,2.661718601457129744e-03
5.000000000000000278e-02,3.078277174108981495e-03,5.125653083968013946e-03
5.100000000000000366e-02,1.033520579794068237e-03,8.846599631360300975e-03
5.200000000000000455e-02,-2.522988731699519864e-03,1.024017077416695433e-02
5.299999999999999850e-02,7.531742895540149973e-04,1.025704707200439728e-02
5.399999999999999939e-02,8.475710290286280054e-04,4.152745914728804208e-03
5.500000000000000028e-02,3.922791360983731747e-03,6.818503000702007960e-03
5.600000000000000117e-02,9.420681274968442306e-03,4.014523934224844062e-03
5.700000000000000205e-02,-1.364699073688357966e-03,4.077159818988584754e-03
5.800000000000000294e-02,-1.958631959588868175e-04,7.157562965004563363e-03
5.900000000000000383e-02,-1.818928211206011268e-03,1.228082056134683145e-02
5.999999999999999778e-02,7.284420531120359282e-03,1.743073721914533206e-02
6.099999999999999867e-02,7.081440954052148525e-03,8.012671016812172170e-03
6.199999999999999956e-02,5.857413890307989340e-03,9.568246458092219409e-03
6.300000000000000044e-02,8.996362394359507658e-04,1.260929333579423155e-02
6.400000000000000133e-02,-7.038220246415385038e-03,1.346630166787132418e-02
6.500000000000000222e-02,3.160229134327475001e-03,1.808776837606251853e-02
6.600000000000000311e-02,-9.558126589444761352e-04,1.344997082751218931e-02
6.700000000000000400e-02,4.187906668009407909e-04,9.544191298968027898e-03
6.800000000000000488e-02,7.787518353501692546e-03,5.893725833022068691e-03
6.900000000000000577e-02,1.272325333154271029e-02,8.570265746653090572e-03
7.000000000000000666e-02,3.806616822144523113e-03,1.725919121697726960e-02
7.100000000000000755e-02,-1.206922921748818794e-03,1.514449131418495360e-02
7.200000000000000844e-02,3.918866569069038436e-03,1.549279660205523344e-02
7.299999999999999545e-02,1.230754389868045102e-03,1.139699274380908713e-02
7.399999999999999634e-02,6.072389764596433995e-03,1.225253047569939760e-02
7.499999999999999722e-02,1.360026224560310221e-02,2.110886636734600474e-02
7.599999999999999811e-02,1.017582376825078468e-02,1.696027883705712724e-02
7.699999999999999900e-02,1.736087675455428442e-03,1.073155815025849877e-02
7.799999999999999989e-02,-2.147899960359606931e-03,1.183696800599520239e-02
7.900000000000000078e-02,9.263058310237139159e-03,2.271890598190762917e-02
8.000000000000000167e-02,5.951391144449895941e-03,2.349323164265283009e-02
8.100000000000000255e-02,2.380955826837736437e-03,2.084118737186158726e-02
8.200000000000000344e-02,4.346624226603313691e-03,2.012764975125699851e-02
8.300000000000000433e-02,2.454201728073456597e-03,1.730293567877631833e-02
8.400000000000000522e-02,1.824842064060836627e-03,2.150264366818313566e-02
8.500000000000000611e-02,8.012296435639904707e-03,1.303650765727210580e-02
8.600000000000000699e-02,4.675070646553284789e-03,2.704851605551641600e-02
8.700000000000000788e-02,2.462931047593626323e-03,1.590839839621158158e-02
8.799999999999999489e-02,1.229723193136249629e-02,1.680479830001405453e-02
8.899999999999999578e-02,1.172653006418772695e-02,1.864700999500353701e-02
8.999999999999999667e-02,3.666696589643310411e-04,2.661076899239296634e-02
9.099999999999999756e-02,4.634945195794096771e-03,2.660336906399080395e-02
9.199999999999999845e-02,2.906050015361504035e-03,2.370882216873103354e-02
9.299999999999999933e-02,2.031616672548437058e-04,2.495982246882695252e-02
9.400000000000000022e-02,1.149929483721707059e-03,2.778876713491483866e-02
9.500000000000000111e-02,9.025330509490021164e-03,2.384156720589796288e-02
9.600000000000000200e-02,1.633386890208448489e-02,2.391886136968204499e-02
9.700000000000000289e-02,5.900899308689065009e-03,2.227305126385367706e-02
9.800000000000000377e-02,8.949519190407864352e-03,2.517811800475364820e-02
9.900000000000000466e-02,6.483709613779871372e-03,2.817350922314599410e-02
1.000000000000000056e-01,1.344987238678573178e-03,2.838153763148357905e-02
1.010000000000000064e-01,4.767894466310419049e-03,2.786395510123923155e-02
1.020000000000000073e-01,6.644794277837217517e-03,2.620404708897312168e-02
1.030000000000000082e-01,7.517546760341325442e-03,2.840938223655188263e-02
